anchor_product_id,recommended_product_id,co_orders,anchor_orders,recommended_orders,confidence,lift,anchor_category,recommended_category,recommended_qty_sold,recommended_revenue,score_affinity
d678178aa4291cd25a755a90188375c8,7b5d8be0e04080e4c8ee6a7ec2f1f597,1,14,10,0.07142857142857142,679.4857142857143,moveis_decoracao,moveis_decoracao,21,760.1899999999999,0.3922683634578297
d6bbda35f0b8505c2f824f1d90295855,880be32f4db1d9f6e2bec38fb6ac23ab,1,14,94,0.07142857142857142,72.28571428571429,brinquedos,brinquedos,99,4353.42,0.4164721395442124
d6bbda35f0b8505c2f824f1d90295855,014a8a503291921f7b004a5215bb3c36,1,14,18,0.07142857142857142,377.4920634920635,brinquedos,bebes,18,658.74,0.3899248639060032
d6bbda35f0b8505c2f824f1d90295855,5d0a7cb413c5b59233c57177fe2f20b0,1,14,10,0.07142857142857142,679.4857142857143,brinquedos,brinquedos,11,548.9,0.3825791047834146
d6fe3b4ddecd4a8393c6a1385de3bfb6,a5647c44af977b148e0a3a4751a09e2e,1,19,12,0.05263157894736842,417.2280701754386,moveis_escritorio,moveis_escritorio,21,3459.92,0.3809901679691079
d8cabd83757ecf48a7d2628dee9135c1,059ca09d32720d9adce3ae12e181339d,1,5,10,0.2,1902.56,perfumaria,perfumaria,10,940.0899999999999,0.4583310595339306
d952c09021388fd5b1e5f914f559fb10,e282624d8c82e04983f125e167eb4521,1,13,30,0.07692307692307693,243.91794871794872,telefonia,telefonia,33,615.67,0.4025237538560374
d9e7d13814ea50f9ae1f612ef6b3a1f1,03e931f387c2dd5b006aecdb12515b2e,1,6,15,0.16666666666666666,1056.9777777777779,cama_mesa_banho,cama_mesa_banho,16,848.0,0.4452897466354349
d9e7d13814ea50f9ae1f612ef6b3a1f1,bff2390f68a7b76b01ef61b684888261,1,6,7,0.16666666666666666,2264.9523809523807,cama_mesa_banho,cama_mesa_banho,11,585.2,0.4397219619262717
d9e7d13814ea50f9ae1f612ef6b3a1f1,b60c241f66e031959b70e1c60725f0bc,1,6,5,0.16666666666666666,3170.9333333333334,cama_mesa_banho,cama_mesa_banho,6,332.8,0.4311059447079492
d9e7d13814ea50f9ae1f612ef6b3a1f1,85b6cd7f57f7a06d180c93e8c74f6381,1,6,6,0.16666666666666666,2642.4444444444443,cama_mesa_banho,cama_mesa_banho,6,321.0,0.4311059447079492
dab2413ead0edda9967edbc9bda2a64e,31c79131e883e5fd8c4c85fe9f7d2bb2,1,65,18,0.015384615384615385,81.3059829059829,telefonia,telefonia,20,499.79999999999995,0.3578983537314776
db1e6fed56643b852af3132d255d9ddc,06ad93d66e91d09df5ce746906d9658b,1,7,8,0.14285714285714285,1698.7142857142858,cama_mesa_banho,cama_mesa_banho,8,1699.2,0.4208375652998041
db5efde3ad0cc579b130d71c4b2db522,3225c54bb2785c33f49f50398fcdb88c,1,48,37,0.020833333333333332,53.56306306306306,audio,relogios_presentes,37,10330.77,0.3706478821156166
db7f3f42ccab32fa6328b3063b278bcc,f6e3aeb40c00aec24ade8333c2ac1b20,2,10,8,0.2,2378.2,consoles_games,consoles_games,8,330.0,0.4551232795855184
dbb67791e405873b259e4656bf971246,18486698933fbb64af6c0a255f7dd64c,6,63,16,0.09523809523809523,566.2380952380952,informatica_acessorios,informatica_acessorios,21,1751.1299999999999,0.40655407774354396
dbb67791e405873b259e4656bf971246,d2085f7e0f9533605386960fc7e987ec,1,63,15,0.015873015873015872,100.66455026455026,informatica_acessorios,ferramentas_jardim,40,514.6,0.3688863486585008
dc404a1496a08f9f5540c8b5d4b92925,ec2d43cc59763ec91694573b31f1c29a,1,37,116,0.02702702702702703,22.164026095060578,brinquedos,cama_mesa_banho,131,6011.7699999999995,0.3942692376764185
dc52f0f5d3ec37a93eaf956cde4e5d2c,a92930c327948861c015c919a0bcb4a8,2,38,154,0.05263157894736842,32.51127819548872,relogios_presentes,relogios_presentes,156,12163.0,0.41240452018704243
dc52f0f5d3ec37a93eaf956cde4e5d2c,b84520a57891e7a8ae2c68741dcc7146,1,38,24,0.02631578947368421,104.30701754385964,relogios_presentes,relogios_presentes,24,1080.0,0.3672441482377675
dc52f0f5d3ec37a93eaf956cde4e5d2c,53b36df67ebb7c41585e8d54d6772e08,1,38,304,0.02631578947368421,8.234764542936288,relogios_presentes,relogios_presentes,321,37454.63,0.3551403108155674
dc52f0f5d3ec37a93eaf956cde4e5d2c,d2d39433df84064b1556612cc52cefca,1,38,7,0.02631578947368421,357.62406015037595,relogios_presentes,relogios_presentes,8,392.0,0.3509127532697289
dc52f0f5d3ec37a93eaf956cde4e5d2c,27d089865ecb267c190122ec1feddb8a,1,38,7,0.02631578947368421,357.62406015037595,relogios_presentes,relogios_presentes,7,342.0,0.3490299568844793
dc68ee0fcb033a1ab6714fbb5db60c15,53759a2ecddad2bb87a079a1f1519f73,1,12,287,0.08333333333333333,27.621370499419278,moveis_decoracao,ferramentas_jardim,373,20387.2,0.4447009672361218
dc68ee0fcb033a1ab6714fbb5db60c15,81de659bfde3389fc8614bfba92e585a,1,12,9,0.08333333333333333,880.8148148148148,moveis_decoracao,moveis_decoracao,9,2300.0,0.38680749834353473
dd0dcee76f9c12fff4bc0eb641d57c7f,474bb6b54fc608ca71059a6c4f7ecda3,1,38,26,0.02631578947368421,96.2834008097166,eletronicos,eletronicos,36,779.4,0.3735110560451348
dd0dcee76f9c12fff4bc0eb641d57c7f,ff29d8cb1cd0cd5ea37b80dac9939e1c,1,38,23,0.02631578947368421,108.84210526315789,eletronicos,eletronicos,23,441.7,0.3665915966772385
dd4c3b4ab7e001aaf385ea2e68952030,9451e630d725c4bb7a5a206b48b99486,1,23,10,0.043478260869565216,413.6,bebes,bebes,10,395.0,0.3644180160556697
dd4c3b4ab7e001aaf385ea2e68952030,52d7a7207b9646509bdc754fed3a0cef,1,23,6,0.043478260869565216,689.3333333333334,bebes,cama_mesa_banho,6,323.33,0.3571929012296884
dd4c3b4ab7e001aaf385ea2e68952030,7b717060aa783eb7f23a747a3a733dd7,1,23,6,0.043478260869565216,689.3333333333334,bebes,cool_stuff,6,719.4000000000001,0.3571929012296884
dd60cac04e6bcbc919cb1c7dcc473211,41b4baff1ceec845ba126eaeb07efa4a,1,14,6,0.07142857142857142,1132.4761904761904,utilidades_domesticas,relogios_presentes,6,161.72,0.3739630875650921
dd6a505f83dd3c6326aa9856519e0978,880be32f4db1d9f6e2bec38fb6ac23ab,2,36,94,0.05555555555555555,56.22222222222222,brinquedos,brinquedos,99,4353.42,0.40694833002040287
dd6a505f83dd3c6326aa9856519e0978,014a8a503291921f7b004a5215bb3c36,2,36,18,0.05555555555555555,293.60493827160496,brinquedos,bebes,18,658.74,0.3804010543821937
dd6a505f83dd3c6326aa9856519e0978,14dffa241a078aeaebaef48a49e807ca,1,36,23,0.027777777777777776,114.88888888888889,brinquedos,bebes,23,1492.7,0.36746878965969465
dd6a505f83dd3c6326aa9856519e0978,5d0a7cb413c5b59233c57177fe2f20b0,1,36,10,0.027777777777777776,264.24444444444447,brinquedos,brinquedos,11,548.9,0.3563886285929384
dd6a505f83dd3c6326aa9856519e0978,2c2b1db11f5ec66bbc6ca9d1ce3f81a4,1,36,6,0.027777777777777776,440.4074074074074,brinquedos,brinquedos,6,389.40000000000003,0.3477726113746159
dd768d259ee6054e0dadd66c8e2be0b6,57e089e3103f5cda6a4ce23b77399bdb,1,12,43,0.08333333333333333,184.35658914728683,cama_mesa_banho,bebes,43,2241.7,0.4104913816674431
ddb9028236525b8ab493fc24f99e8d1a,e61c78a7343d82c0539d27df0f7dfc31,2,11,16,0.18181818181818182,1081.0,cama_mesa_banho,cama_mesa_banho,17,3478.3,0.4552943497431837
ddb9028236525b8ab493fc24f99e8d1a,81b6c7c058add831803fcbba6dcc1df2,1,11,14,0.09090909090909091,617.7142857142857,cama_mesa_banho,cama_mesa_banho,14,1518.6000000000001,0.39783443161499227
ddb9028236525b8ab493fc24f99e8d1a,ba92b5a0701d2f820ba6ca8f8c86294f,1,11,5,0.09090909090909091,1729.6,cama_mesa_banho,cama_mesa_banho,6,1559.3999999999999,0.3856513992534038
ddceb6eef6af67e9fbbd4c148dbe5fd9,65dfa5d20f4beb1a0f6aad75c004434f,1,50,8,0.02,237.82,cool_stuff,cool_stuff,8,1864.97,0.3471232795855184
de17feec1983829fec4bc58cadaa43f3,83bfae859f4a37b048a3abcecb17c506,1,9,9,0.1111111111111111,1174.4197530864199,utilidades_domesticas,utilidades_domesticas,11,909.5,0.4063886285929384
de17feec1983829fec4bc58cadaa43f3,9e2ce829b01f3d1a0a9d5ddf7ee21864,1,9,10,0.1111111111111111,1056.9777777777779,utilidades_domesticas,utilidades_domesticas,10,699.0,0.40499772620059726
de1dab31e5f3737cd024f5fe44743fa9,aa8fce5e65ab73ab73101ea58d710905,1,7,6,0.14285714285714285,2264.9523809523807,esporte_lazer,esporte_lazer,6,764.88,0.4168202304222349
de916cab431520b8d1980c24bf4dd473,e4ad97ce352e46bebac92018f6ed976d,1,6,13,0.16666666666666666,1219.5897435897436,brinquedos,papelaria,13,1087.0,0.44218610577470546
de92134fd940e9302d27c31af4581fbd,457cd0a99cfa977993e4eb6d98d95abb,1,11,15,0.09090909090909091,576.5333333333333,eletroportateis,telefonia,15,479.84999999999997,0.3988660988124796
dea837d4f3f30b541725d258c15e4ff1,9d8a0e115e802d845b4ce1eb794d1260,1,6,39,0.16666666666666666,406.52991452991455,esporte_lazer,esporte_lazer,40,4800.0,0.4593625391346913
def59eb2e17b32b980b5341984f6b500,f3dadecca4b876a315481c79b8adcf16,1,8,5,0.125,2378.2,pet_shop,pet_shop,5,114.5,0.40364180085951545
