anchor_product_id,recommended_product_id,co_orders,anchor_orders,recommended_orders,support,confidence_anchor_to_recommended,confidence_recommended_to_anchor,lift
5e5d267a41f3d8bb608c2f0bd4b4972f,d04e48982547095af81c231c3d581cb6,1,9,28,1.051215204776722e-05,0.1111111111111111,0.03571428571428571,377.4920634920635
0fa81e7123fd0ebe03adbbe99d912827,87d780fa7d2cf3710aa02dc4ca8db985,2,22,23,2.102430409553444e-05,0.09090909090909091,0.08695652173913043,376.0
5d5288d3096b9becaa3566f64fe88110,ecbe1ef7e2903ff8b1d704ba78fa264d,1,11,23,1.051215204776722e-05,0.09090909090909091,0.043478260869565216,376.0
72a30483855e2eafc67aee5dc2560482,ecbe1ef7e2903ff8b1d704ba78fa264d,1,11,23,1.051215204776722e-05,0.09090909090909091,0.043478260869565216,376.0
665aa1d687284a4d2d2b74c0c6724625,9ad75bd7267e5c724cb42c71ac56ca72,2,13,39,2.102430409553444e-05,0.15384615384615385,0.05128205128205128,375.258382642998
0bdd9a52d192d64770e33ae559512478,186fe07c8b8005ec6a498587ffbc1352,2,15,34,2.102430409553444e-05,0.13333333333333333,0.058823529411764705,373.0509803921569
43b54d1fc56ff394092a3dff6be2d39f,4f0abfbee7569e43b80f9aaa256a9bf8,1,15,17,1.051215204776722e-05,0.06666666666666667,0.058823529411764705,373.0509803921569
1ebde342c905182ffc07333fc569c590,ce6f74096c84567f22728c84f3d6e7fc,1,8,32,1.051215204776722e-05,0.125,0.03125,371.59375
3e5201fe0d1ba474d9b90152c83c706c,cd3de1984e1a77b441e1b39b8e334330,1,43,6,1.051215204776722e-05,0.023255813953488372,0.16666666666666666,368.71317829457365
2ff995aead9c63a1f37a07b3664ead37,4563095e06df1fa67de2eade86f4f01b,1,37,7,1.051215204776722e-05,0.02702702702702703,0.14285714285714285,367.2895752895753
27d089865ecb267c190122ec1feddb8a,57f2bc497c1a3ebe41ba7a06d78ed159,1,7,37,1.051215204776722e-05,0.14285714285714285,0.02702702702702703,367.2895752895753
0a9bdadab17a9b0f258f64d11a0adf7b,3eef0cb94ba82de806bb30ab743c7655,1,10,26,1.051215204776722e-05,0.1,0.038461538461538464,365.87692307692305
0a4f9f421af66d2ea061fbb8883419f7,f889fb87b505b73de10c18b93352469f,1,13,20,1.051215204776722e-05,0.07692307692307693,0.05,365.87692307692305
02475368dfb38934fe55f574024fe1d7,5c692818d313aa12864b48ac0c2472c2,1,12,22,1.051215204776722e-05,0.08333333333333333,0.045454545454545456,360.3333333333333
02475368dfb38934fe55f574024fe1d7,87cb507e0daa37bbf34956fd59eba832,1,12,22,1.051215204776722e-05,0.08333333333333333,0.045454545454545456,360.3333333333333
68a058d125ba1544e726898f0b8c0523,eab67bf937aaadc19f83383a331d2dd9,1,24,11,1.051215204776722e-05,0.041666666666666664,0.09090909090909091,360.3333333333333
27d089865ecb267c190122ec1feddb8a,dc52f0f5d3ec37a93eaf956cde4e5d2c,1,7,38,1.051215204776722e-05,0.14285714285714285,0.02631578947368421,357.62406015037595
81b6c7c058add831803fcbba6dcc1df2,9565229244e9341fb8c8069879cf73cd,1,14,19,1.051215204776722e-05,0.07142857142857142,0.05263157894736842,357.62406015037595
d2d39433df84064b1556612cc52cefca,dc52f0f5d3ec37a93eaf956cde4e5d2c,1,7,38,1.051215204776722e-05,0.14285714285714285,0.02631578947368421,357.62406015037595
11dcc970f7a5581e1bf777b6da3f7096,2b4042dfabc3fe9d3f16951a8e1a3b70,1,30,9,1.051215204776722e-05,0.03333333333333333,0.1111111111111111,352.3259259259259
607ef4aa416b93fdeb2a811c2c73ad81,8a443635fdf9759915c9be5be2e3b862,1,10,27,1.051215204776722e-05,0.1,0.037037037037037035,352.3259259259259
4025ee582ef6b8c478af3b44cf89054b,c211ff3068fcd2f8898192976d8b3a32,2,16,34,2.102430409553444e-05,0.125,0.058823529411764705,349.7352941176471
186fe07c8b8005ec6a498587ffbc1352,3e6d2bde9274ac275013aa90d7e2bf16,1,34,8,1.051215204776722e-05,0.029411764705882353,0.125,349.7352941176471
c211ff3068fcd2f8898192976d8b3a32,cf28a2b7bc92809a0574cf07772c88c4,1,34,8,1.051215204776722e-05,0.029411764705882353,0.125,349.7352941176471
