anchor_category,recommended_category,co_orders,anchor_orders,recommended_orders,support,confidence_anchor_to_recommended,confidence_recommended_to_anchor,lift
fashion_esporte,fashion_roupa_feminina,1,26,36,1.051215204776722e-05,0.038461538461538464,0.027777777777777776,101.63247863247864
construcao_ferramentas_jardim,flores,1,190,29,1.051215204776722e-05,0.005263157894736842,0.034482758620689655,17.264609800362976
fashion_bolsas_e_acessorios,fashion_roupa_infanto_juvenil,2,1821,7,2.102430409553444e-05,0.001098297638660077,0.2857142857142857,14.925551110065113
livros_tecnicos,musica,1,256,38,1.051215204776722e-05,0.00390625,0.02631578947368421,9.778782894736842
casa_conforto_2,instrumentos_musicais,1,24,611,1.051215204776722e-05,0.041666666666666664,0.0016366612111292963,6.487179487179487
cool_stuff,pc_gamer,1,3556,7,1.051215204776722e-05,0.00028121484814398203,0.14285714285714285,3.821629439177246
bebes,la_cuisine,1,2808,13,1.051215204776722e-05,0.00035612535612535614,0.07692307692307693,2.605960990576375
casa_construcao,construcao_ferramentas_seguranca,2,483,158,2.102430409553444e-05,0.004140786749482402,0.012658227848101266,2.4930681133212778
ferramentas_jardim,la_cuisine,1,3447,13,1.051215204776722e-05,0.0002901073397156948,0.07692307692307693,2.1228716163442014
construcao_ferramentas_iluminacao,construcao_ferramentas_jardim,1,242,190,1.051215204776722e-05,0.004132231404958678,0.005263157894736842,2.0688995215311006
fashion_bolsas_e_acessorios,fashion_esporte,1,1821,26,1.051215204776722e-05,0.0005491488193300384,0.038461538461538464,2.0092088032779962
construcao_ferramentas_jardim,livros_tecnicos,1,190,256,1.051215204776722e-05,0.005263157894736842,0.00390625,1.9557565789473683
livros_interesse_geral,market_place,2,495,274,2.102430409553444e-05,0.00404040404040404,0.0072992700729927005,1.402757502027575
artes_e_artesanato,ferramentas_jardim,1,23,3447,1.051215204776722e-05,0.043478260869565216,0.0002901073397156948,1.1998839570641138
cama_mesa_banho,casa_conforto,43,9271,392,0.0004520225380539904,0.004638118865278826,0.1096938775510204,1.1255483964700108
artes_e_artesanato,brinquedos,1,23,3804,1.051215204776722e-05,0.043478260869565216,0.0002628811777076761,1.0872765509989484
automotivo,casa_conforto_2,1,3809,24,1.051215204776722e-05,0.00026253609871357313,0.041666666666666664,1.0406055832676993
casa_construcao,construcao_ferramentas_jardim,1,483,190,1.051215204776722e-05,0.002070393374741201,0.005263157894736842,1.0365914786967418
alimentos,telefonia_fixa,1,441,212,1.051215204776722e-05,0.0022675736961451248,0.0047169811320754715,1.0174988234287425
casa_construcao,construcao_ferramentas_iluminacao,1,483,242,1.051215204776722e-05,0.002070393374741201,0.004132231404958678,0.8138528138528138
